Course Name,Address,Access,Year Built,Rating,Number of Reviews,Pct Recommend
Bowling Green Golf Club,"53 Schoolhouse Rd, Oak Ridge, New Jersey 07438, Passaic County",Semi-Private,1967,4.4,267 out of 286 reviews,95.00%
William F. Larkin Golf Course at Colonial Terrace,"1003 Wickapecko Dr, Ocean, New Jersey 07712, Monmouth County",Public,1925,3.9,70 out of 75 reviews,96.20%
Ocean City Golf Course,"26th & Bay Ave, Ocean City, New Jersey 08226, Cape May County",Public/Municipal,1957,,,0%
Heritage Links,"1375 Route 9, Ocean View, NJ 08230",Public,2000,4,2 out of 2 reviews,100.00%
Shore Gate Golf Club,"35 School House Lane, Ocean View, New Jersey 08230",Public,2002,4,12 out of 14 reviews,80.40%
Glenwood Country Club,"Route 9 S & Fairway Ln, Old Bridge, New Jersey 08857, Middlesex County",Private,1966,4,1 out of 1 reviews,100.00%
Old Tappan Golf Course,"83 DeWolf Rd, Old Tappan, New Jersey 07675, Bergen County",Private,1970,,,0%
Hackensack Golf Club,"880 Soldier Hill Rd, Oradell, New Jersey 07649, Bergen County",Private,1899,5,1 out of 1 reviews,100.00%
Arcola Country Club,"Route 4 & Paramus Rd, Paramus, New Jersey 07653, Bergen County",Private,1909,,,0%
"Center/West at Ridgewood Country Club, The","96 W Midland Ave, Paramus, New Jersey 07652, Bergen County",Private,1929,,,0%
"East/Center at Ridgewood Country Club, The","96 W Midland Ave, Paramus, New Jersey 07652, Bergen County",Private,1929,,,0%
Orchard Hills Golf Course,"404 Paramus Rd, Paramus, New Jersey 07652, Bergen County",Public/Municipal,1925,3.9,20 out of 27 reviews,80.60%
Paramus Golf Course,"314 Paramus Rd, Paramus, New Jersey 07652, Bergen County",Public/Municipal,1976,4.2,2 out of 2 reviews,100.00%
"West/East at Ridgewood Country Club, The","96 W Midland Ave, Paramus, New Jersey 07652, Bergen County",Private,1929,,,0%
"Knoll East Country Club, The","50 Knoll Lane, Parsippany, New Jersey 07005, Morris County",Public,1961,3.3,63 out of 89 reviews,73.60%
Knoll West Country Club,"990 Greenbank Rd, Parsippany, New Jersey 07005, Morris County",Semi-Private,1929,4.7,27 out of 31 reviews,98.10%
Pennsauken Country Club,"3800 Haddonfield Rd, Pennsauken, New Jersey 08109, Camden County",Semi-Private,1932,4.2,49 out of 55 reviews,85.10%
Harkers Hollow Golf Club,"950 Uniontown Rd, Phillipsburg, New Jersey 08865, Warren County",Semi-Private,1929,3.2,136 out of 227 reviews,72.30%
The Architects Golf Club,"700 Strykers Rd, Phillipsburg, New Jersey 08865, Warren County",Semi-Private,2001,4.5,536 out of 580 reviews,96.50%
Picatinny Golf Club,"121 Buffington Rd, Picatinny Arsenal, New Jersey 07806, Morris County",Military,1921,,,0%
Trump National Golf Club - Philadelphia,"500 W Branch Ave, Pine Hill, New Jersey 08021",Private,2000,5,1 out of 1 reviews,100.00%
Pine Valley Golf Club - Championship,"1 E Atlantic Ave, Clementon, New Jersey 08021, Camden County",Private,1918,5,3 out of 3 reviews,100.00%
Pine Valley Golf Club - Short,"1 E Atlantic Ave, Clementon, New Jersey 08021, Camden County",Private,1992,5,3 out of 3 reviews,100.00%
Raritan Landing Golf Course,"491 Sidney Rd, Piscataway, NJ 08854, Middlesex County",Municipal,1999,4.3,26 out of 28 reviews,93.10%
Rutgers University Golf Course,"777 Hoes Ln, Piscataway, New Jersey 08854, Middlesex County",Public,1963,3.9,107 out of 127 reviews,82.80%
Running Deer Golf Club,"1111 Parvins Mill Road, Pittsgrove, NJ 08318",Semi-Private,2000,4.9,11 out of 11 reviews,100.00%
Plainfield Country Club,"1591 Woodland Ave, Plainfield, New Jersey 08820, Union County",Private,1898,,,0%
Plainfield West Nine,"9 Woodland Ave, Plainfield, New Jersey 08820, Union County",Semi-Private,1898,3.3,21 out of 26 reviews,81.00%
The Meadows at Middlesex Golf Club,"70 Hunters Glen Dr, Plainsboro, New Jersey 08536, Middlesex County",Public/Municipal,1972,3.5,40 out of 53 reviews,82.00%
Pomona Golf & Country Club,"400 W Moss Mill Rd, Pomona, New Jersey 08240, Atlantic County",Semi-Private,1943,3.8,53 out of 63 reviews,93.80%
Sunset Valley Golf Course,"47 W Sunset Rd, Pompton Plains, New Jersey 07444, Morris County",Public/Municipal,1974,4,114 out of 133 reviews,87.30%
Bunker Hill Golf Course,"220 Bunker Hill Rd, Princeton, New Jersey 08540, Somerset County",Public,1972,3.9,208 out of 251 reviews,88.30%
Princeton Country Club,"1 Wheeler Way, Princeton, New Jersey 08540, Mercer County",Public/Municipal,1958,3.2,165 out of 208 reviews,71.00%
Springdale Golf Club,"1895 Clubhouse Drive, Princeton, New Jersey 08540 , Mercer County",Private,1915,,,0%
TPC Jasna Polana,"8 Lawrenceville Rd, Princeton, New Jersey 08540, Mercer County",Private,1998,5,3 out of 3 reviews,100.00%
Mercer Oaks Golf Course - East Course,"725 Villiage Rd W, Princeton Junction, New Jersey 08550, Mercer County",Municipal,2003,4.3,234 out of 247 reviews,96.40%
Mercer Oaks Golf Course - West Course,"725 Village Rd W, Princeton Junction, New Jersey 08550, Mercer County",Municipal,1991,3.9,221 out of 246 reviews,87.60%
Ramsey Golf & Country Club,"105 Lakeside Dr, Ramsey, New Jersey 07446, Bergen County",Private,1940,,,0%
Mt. Freedom Golf,"1275 Sussex Tpke, Randolph, New Jersey 07869",Public,1948,,,0%
Shadow Lake Village Golf Course,"1 Loch Arbor Way, Red Bank, New Jersey 07701, Monmouth County",Private,1972,,,0%
Copper Hill Country Club,"100 Copper Hill Rd, Ringoes, New Jersey 08551, Hunterdon County",Private,1927,5,6 out of 6 reviews,100.00%
Heron Glen Golf Course,"110 State Highway 202/31, Ringoes, New Jersey 08551, Hunterdon County",Public/Municipal,2002,4.7,264 out of 271 reviews,97.80%
The Ridge At Back Brook,"211 Wertsville Road, Ringoes, New Jersey 08551, Hunterdon County",Private,2002,4.8,5 out of 7 reviews,95.30%
Cape May Par 3 and Driving Range,"Fulling Mill Road, Rio Grande, NJ 08260",Public,2002,3,2 out of 2 reviews,100.00%
Blue/White at Edgewood Country Club,"449 River Vale Rd, River Vale, New Jersey 07675, Bergen County",Private,1948,5,1 out of 1 reviews,100.00%
Red/Blue at Edgewood Country Club,"449 River Vale Rd, River Vale, New Jersey 07675, Bergen County",Private,1948,5,1 out of 1 reviews,100.00%
River Vale Country Club,"660 River Vale Rd, River Vale, New Jersey 07675, Bergen County",Public,1931,4.3,264 out of 298 reviews,93.30%
Valley Brook Golf Course,"15 Rivervale Rd, River Vale, New Jersey 07675, Bergen County",Public/Municipal,1962,3.3,23 out of 35 reviews,65.10%
White/Red at Edgewood Country Club,"449 River Vale Rd, River Vale, New Jersey 07675, Bergen County",Private,1948,5,1 out of 1 reviews,100.00%
Riverton Country Club,"1416 Highland Ave, Riverton, New Jersey 08077, Burlington County",Private,1900,4.3,2 out of 2 reviews,100.00%
Rockleigh Golf Course - Blue,"15 Paris Ave, Rockleigh, New Jersey 07647, Bergen County",Public/Municipal,1961,2.8,3 out of 5 reviews,55.60%
Rockleigh Golf Course - Red/White,"15 Paris Ave, Rockleigh, New Jersey 07647, Bergen County",Public/Municipal,1946,3.3,30 out of 41 reviews,65.60%
Rumson Golf Club,"163 Rumson Rd, Rumson, New Jersey 07760, Monmouth County",Private,1910,5,1 out of 1 reviews,100.00%
Wild Oaks Golf Course - White Cedar/Pin Oaks,"75 Wild Oaks Dr, Salem, New Jersey 08079, Salem County",Public,1972,1.3,27 out of 39 reviews,11.80%
Wild Oaks Golf Course - White Cedar/Willow Oaks,"75 Wild Oaks Dr, Salem, New Jersey 08079, Salem County",Public,1982,1.3,27 out of 39 reviews,11.80%
Wild Oaks Golf Course - Willow Oaks/Pin Oaks,"75 Wild Oaks Dr, Salem, New Jersey 08079, Salem County",Public,1972,1.3,27 out of 39 reviews,11.80%
Ash Brook Golf Course,"1210 Raritan Rd, Scotch Plains, New Jersey 07076, Union County",Public,1953,1.3,3 out of 6 reviews,12.50%
Ash Brook Golf Course - 9-hole pitch & putt,"1210 Raritan Rd, Scotch Plains, New Jersey 07076, Union County",Public,1964,,,0%
Scotch Hills Country Club,"820 Jerusalem Rd, Scotch Plains, New Jersey 07076, Union County",Municipal,1920,,,0%
Shackamaxon Golf & Country Club,"100 Tillinghast Turn, Scotch Plains, New Jersey 07076, Union County",Private,1916,3.8,2 out of 3 reviews,70.60%
Pitman Golf Course,"501 Pitman Rd, Sewell, New Jersey 08080, Gloucester County",Public/Municipal,1927,4.2,153 out of 165 reviews,91.20%
East Orange Golf Course,"440 Parsonage Hill Rd, Short Hills, New Jersey 07078, Essex County",Municipal,1926,3.4,205 out of 255 reviews,81.60%
Millburn Municipal Golf Course,"White Oak Ridge Rd, Short Hills, New Jersey 07078, Essex County",Private/Municipal,1970,3,1 out of 1 reviews,100.00%
"Bedens Brook Club, The","240 Rolling Hill Rd, Skillman, New Jersey 08558, Somerset County",Private,1964,5,1 out of 1 reviews,100.00%
Cherry Valley Country Club,"125 Country Club Dr, Skillman, New Jersey 08558, Somerset County",Private,1991,4.2,4 out of 4 reviews,100.00%
Greate Bay Golf Club,"901 Mays Landing Rd, Somers Point, New Jersey 08244, Atlantic County",Semi-Private,1923,4,2 out of 2 reviews,100.00%
Quail Brook Golf Course,"625 New Brunswick Rd, Somerset, New Jersey 08873, Somerset County",Public/Municipal,1982,4.2,204 out of 220 reviews,94.10%
Spooky Brook Golf Course,"582 Elizabeth Ave, Somerset, New Jersey 08873, Somerset County",Public,1970,4.1,231 out of 245 reviews,94.80%
Tara Greens Golf Center - Pitch 'N Putt,"955 Route 27, Somerset, New Jersey 08873, Somerset County",Public,1961,1.8,18 out of 27 reviews,26.90%
Fox Hollow Golf Club,"59 Fox Chase Run, Branchburg, New Jersey 08876, Somerset County",Semi-Private,1967,4.2,212 out of 237 reviews,89.20%
Lake Mohawk Golf Club,"471 W Shore Trl, Sparta, New Jersey 07871, Sussex County",Private,1928,5,1 out of 1 reviews,100.00%
SkyView Golf Club,"226 Lafayette Road, Sparta, New Jersey 07871, Sussex County",Semi-Private,2000,4.1,186 out of 218 reviews,87.10%
Fairway Mews Golf Club,"1 Club House Dr, Spring Lake, New Jersey 07762, Monmouth County",Private,1972,5,1 out of 1 reviews,100.00%
Spring Lake Golf Club,"901 Warren Ave, Spring Lake Heights, New Jersey 07762, Monmouth County",Private,1910,,,0%
Lower at Baltusrol Golf Club,"201 Shunpike Rd, Springfield, New Jersey 07081, Union County",Private,1922,5,2 out of 2 reviews,100.00%
Upper at Baltusrol Golf Club,"201 Shunpike Rd, Springfield, New Jersey 07081, Union County",Private,1922,,,0%
Lake Lackawanna Golf Course,"14 Reis Ave, Stanhope, New Jersey 07874, Sussex County",Public,1924,2,1 out of 2 reviews,50.00%
North at Canoe Brook Country Club,"1108 Morris Tnpk, Summit, New Jersey 07902, Union County",Private,1901,,,0%
South at Canoe Brook Country Club,"1108 Morris Tnpk, Summit, New Jersey 07902, Union County",Private,1924,,,0%
Summit Municipal Golf Course,"189 River Rd, Summit, New Jersey 07901, Union County",Municipal,1967,3,1 out of 1 reviews,100.00%
Union League National Golf Club - North/South,"1765 Route 9 No, Swainton, New Jersey 08210, Cape May County",Semi-Private,1997,3.9,183 out of 218 reviews,83.90%
Union League National Golf Club - South/West,"1765 Route 9 No, Swainton, New Jersey 08210, Cape May County",Semi-Private,1999,3.9,183 out of 218 reviews,83.90%
Union League National Golf Club - West/North,"1765 Route 9 No, Swainton, New Jersey 08210, Cape May County",Semi-Private,1999,3.9,183 out of 218 reviews,83.90%
Overpeck Golf Course,"273 E Cedar Ln, Teaneck, New Jersey 07666, Bergen County",Public,1967,3.5,40 out of 57 reviews,68.80%
Knickerbocker Country Club,"188 Knickerbockers Rd, Tenafly, New Jersey 07670, Bergen County",Private,1914,5,1 out of 1 reviews,100.00%
Twin Brook Golf Center,"1251 Jumping Brook Rd, Tinton Falls, New Jersey 07753, Monmouth County",Public,1994,4.5,5 out of 7 reviews,90.50%
Bey Lea Municipal Golf Course,"1536 N Bay Ave, Toms River, New Jersey 08753, Ocean County",Public/Municipal,1969,4,3 out of 3 reviews,100.00%
Greenbriar Woodlands Golf Course,"1 Kensington Cir, Toms River, New Jersey 08755, Ocean County",Private,1988,,,0%
Toms River Country Club,"419 Washington St, Toms River, New Jersey 08753, Ocean County",Private,1961,4.5,2 out of 2 reviews,100.00%
Washington Township Municipal Golf Course,"197 Fries Mill Rd, Turnersville, New Jersey 08012, Gloucester County",Public/Municipal,1963,5,2 out of 2 reviews,100.00%
Wedgwood Country Club,"200 Hurffville Rd, Turnersville, New Jersey 08012, Gloucester County",Semi-Private,1966,2.9,125 out of 188 reviews,50.60%
Suburban Golf Club,"1730 Morris Ave, Union, New Jersey 07083, Union County",Private,1922,5,2 out of 2 reviews,100.00%
Minerals Golf Club,"2 Chamonix Drive, Vernon, New Jersey 07462",Public/Resort,1987,2,52 out of 70 reviews,28.50%
Eastlyn Golf Course,"4049 Italia Ave, Vineland, New Jersey 08361, Cumberland County",Public,1964,4,1 out of 1 reviews,100.00%
Kresson Golf Club,"298 Kresson Gibbsboro Rd, Voorhees, New Jersey 08043, Camden County",Public,1960,4,4 out of 5 reviews,96.10%
Executive at Bel-Aire Golf Club,"3120 Allaire Rd, Wall, New Jersey 07719, Monmouth County",Public,1964,4,1 out of 1 reviews,100.00%
Quail Ridge Golf World Executive Golf Course,"1770 Route 34, Wall, NJ, 07719,",Public,0,,,0%
The Nine Hole Par 3 at Bel-Aire Golf Club,"3120 Allaire Rd, Wall, New Jersey 07719, Monmouth County",Public,1964,4,1 out of 1 reviews,100.00%
Greenbriar At Ocean Aire Golf and Country Club,"1 Heritage Cir, Waretown, New Jersey 08758, Ocean County",Private/Resort,2004,4.3,2 out of 2 reviews,100.00%
Warrenbrook Golf Course,"500 Warrenville Rd, Warren, New Jersey 07059, Somerset County",Public,1966,4,158 out of 181 reviews,90.50%
Fairway Valley Golf Club,"76 Mine Hill Rd, Washington, New Jersey 07882, Warren County",Public,1969,4.1,87 out of 93 reviews,97.40%
Hawk Pointe Golf Course,"294 Route 31 South, Washington, New Jersey 07882, Warren County",Private,2000,4,2 out of 2 reviews,100.00%
Watchung Valley Golf Club,"600 Mountain Blvd, Watchung, New Jersey 07060, Somerset County",Private,1927,5,2 out of 2 reviews,100.00%
North Jersey Country Club,"594 Hamburg Tnpk, Wayne, New Jersey 07470, Passaic County",Private,1923,5,1 out of 1 reviews,100.00%
Packanack Golf Club,"7 Osborne Terrace, Wayne, New Jersey 07470, Passaic County",Private,1965,,,0%
Preakness Hills Country Club,"1050 Ratzer Rd, Wayne, New Jersey 07470, Passaic County",Private,1929,,,0%
Preakness Valley Golf Course - East,"209 Totowa Rd, Wayne, New Jersey 07470, Passaic County",Public,1892,3.8,269 out of 316 reviews,86.60%
Preakness Valley Golf Course - West,"209 Totowa Rd, Wayne, New Jersey 07470, Passaic County",Public,1925,3.8,269 out of 316 reviews,86.60%
Mountain Ridge Country Club,"713 Passaic Ave, West Caldwell, New Jersey 07006, Essex County",Private,1929,,,0%
Ron Jaworski's RiverWinds Golf & Tennis Club,"270 Eagle Point Rd, West Deptford, New Jersey, 08086",Public,2002,4.2,264 out of 297 reviews,91.50%
Crestmont Country Club,"750 Eagle Rock Ave, West Orange, New Jersey 07052, Essex County",Private,1923,5,1 out of 1 reviews,100.00%
Essex County Country Club,"350 Mt Pleasant Ave, West Orange, New Jersey 07052, Essex County",Private,1917,,,0%
First Nine at Montclair Golf Club,"25 Prospect Ave, West Orange, New Jersey 07052, Essex County",Private,1899,,,0%
Fourth Nine at Montclair Golf Club,"25 Prospect Ave, West Orange, New Jersey 07052, Essex County",Private,1928,,,0%
Francis Byrne Golf Course,"1100 Pleasant Valley Way, West Orange, New Jersey 07052, Essex County",Public/Municipal,1926,4,40 out of 52 reviews,83.00%
Rock Spring Club,"90 Rock Spring Rd, West Orange, New Jersey 07052, Essex County",Private,1925,3.8,7 out of 8 reviews,88.10%
Second Nine at Montclair Golf Club,"25 Prospect Ave, West Orange, New Jersey 07052, Essex County",Private,1899,,,0%
Third Nine at Montclair Golf Club,"25 Prospect Ave, West Orange, New Jersey 07052, Essex County",Private,1920,,,0%
Trenton Country Club,"201 Sullivan Way, West Trenton, New Jersey 08628, Mercer County",Private,1897,,,0%
Cranbury Golf Club,"49 Southfield Rd, West Windsor, New Jersey 08550, Mercer County",Semi-Private,1964,3.2,191 out of 257 reviews,67.70%
Deerwood Country Club,"845 Woodlane Rd, Westampton, New Jersey 08060, Burlington County",Semi-Private,1993,4.9,3 out of 3 reviews,100.00%
Echo Lake Country Club,"515 Springfield Ave, Westfield, New Jersey 07090, Union County",Private,1913,5,1 out of 1 reviews,100.00%
Anchor Golf Land,"21 Route 10 E, Whippany, New Jersey 07981, Morris County",Public,1964,,,0%
Stanton Ridge Golf & Country Club,"25 Club House Dr, Whitehouse Station, New Jersey 08889, Hunterdon County",Private,1993,4.8,2 out of 2 reviews,100.00%
Scotland Run Golf Club,"2626 Fries Mill Rd., Williamstown, NJ 08094, Gloucester County",Public,1999,3.8,179 out of 194 reviews,78.80%
Rancocas Golf Club,"12 Club Ridge Ln, Willingboro, New Jersey 08046, Burlington County",Public,1966,3.3,184 out of 264 reviews,64.60%
Pinelands Golf Club,"887 S Mays Landing Rd, Winslow, New Jersey 08037, Camden County",Public,1963,3.3,3 out of 4 reviews,70.60%
Westwood Golf Club,"850 Kings Hwy, Woodbury, New Jersey 08096, Gloucester County",Public,1962,3.6,94 out of 121 reviews,77.40%
Town & Country Golf Links,"197 East Avenue, Woodstown, NJ 08098",Public,1999,3.4,9 out of 13 reviews,67.20%
Desert Lakes Golf Course,"2351 Hamilton Rd, Alamogordo, NM 88310, United States",Municipal,1953,4.8,6 out of 6 reviews,100.00%
Alto Lakes Golf & Country Club,"One Country Club Drive, Alto, New Mexico 88312",Private,1966,,,0%
Kokopelli Club,"1200 High Mesa Rd, Alto, NM 88312",Private,1998,,,0%
The Golf Club At Rainmakers,"250 Rainmaker Dr, Alto, NM 88312",Private,2008,4.4,4 out of 5 reviews,72.20%
The Outlaw at Alto Lakes,"190 Lincoln Hills Dr, Alto, New Mexico 88312",Private,2008,,,0%
Angel Fire Resort Country Club,"100 Country Club Drive, Angel Fire, NM 87710",Private/Resort,1972,4.7,20 out of 21 reviews,98.60%
Anthony Country Club,"2100 W Ohara Rd, Anthony, NM 88021, United States",Private,1950,3,2 out of 4 reviews,50.00%
Dos Lagos Golf Club,"1150 Duffer Lane, Anthony, NM 88021",Public,1960,4,3 out of 3 reviews,100.00%
Artesia Country Club,"26th & Richey Avenue, Artesia, NM 88210",Private,1946,,,0%
Aztec Municipal Golf Course,"29 Road 3025, Aztec, New Mexico 87410",Public/Municipal,1950,2.7,9 out of 13 reviews,58.40%
Tierra Del Sol Golf Course,"1000 Golf Course Rd, Belen, NM 87002",Public,1968,4.7,3 out of 3 reviews,100.00%
Whispering Winds Golf Club,"105 Olds Dr, Cannon Afb, NM 88103",Military,1954,,,0%
Valle Del Sol Golf Course,"Highway 380 East, Carrizozo, NM 88301",Public,2007,,,0%
Clayton Golf Club,"Princeton and Water, Clayton, New Mexico 88415",Municipal,1970,,,0%
Ponderosa Pines Golf Course,"878 Cox Canyon Hwy, Cloudcroft, New Mexico 88317",Public,1970,1,1 reviews,0%
The Lodge Golf Course,"601 Corona Place, Cloudcroft, NM 88317",Resort,1899,3.9,25 out of 30 reviews,83.70%
Colonial Park Golf Course,"1300 Colonial Parkway, Clovis, New Mexico 88101, Curry County",Municipal,1964,,,0%
Par 3 at Clovis Municipal Golf Course,"1200 N Norris St, Clovis, New Mexico 88101, Curry County",Public/Municipal,1929,,,0%
Cochiti Golf Club,"5200 Cochiti Hwy, Cochiti Lake, New Mexico 87083",Public,1981,4.3,21 out of 23 reviews,98.80%
Conchas Dam Park Golf Course,"Conchas Dam, New Mexico, 88416",Public,1939,,,0%
Rio Mimbres Country Club,"2500 E Pine St, Deming, New Mexico 88030, Luna County",Semi-Private,1950,4.3,2 out of 2 reviews,100.00%
Sierra del Rio Golf Course,"101 Clubhouse Dr, Elephant Butte, New Mexico 87935, Sierra County",Resort,2007,4.4,12 out of 12 reviews,100.00%
Black Mesa Golf Club,"115 St Rd 399, Española, New Mexico 87532, Rio Arriba County",Public,2003,3.7,46 out of 63 reviews,96.60%
Eunice Municipal Golf Course,"9434 State Highway 8, Eunice, New Mexico 88231, Lea County",Public,1948,,,0%
Civitan Golf Course,"2200 N Dustin Ave, Farmington, New Mexico 87401, San Juan County",Public/Municipal,1967,,,0%
Pinon Hills Golf Course,"2101 Sunrise Pkwy, Farmington, New Mexico 87402, San Juan County",Public/Municipal,1989,4.7,87 out of 88 reviews,99.80%
San Juan Country Club,"5775 Country Club Dr, Farmington, New Mexico 87402, San Juan County",Private,1952,4,1 out of 1 reviews,100.00%
Fox Run Golf Course,"1109 Susan St, Gallup, New Mexico 87301, Mc Kinley County",Public/Municipal,1965,1,5 reviews,0%
Coyote del Malpais Golf Course,"2001 George Hanosh Blvd, Grants, New Mexico 87020, Cibola County",Public/Municipal,1994,2,1 reviews,0%
Hobbs Country Club,"5001 W Carlsbad Hwy, Hobbs, New Mexico 88240, Lea County",Private,1937,,,0%
Rockwind Community Links - Championship Course,"5001 Jack Gomez Blvd, Hobbs, New Mexico 88240, Lea County",Public/Municipal,2015,4.8,28 out of 28 reviews,100.00%
Rockwind Community Links - Li'l Rock Par-3 Course,"5001 Jack Gomez Blvd, Hobbs, New Mexico 88240, Lea County",Public/Municipal,2015,,,0%
Apache Mesa Golf Course,"151 W Gate Ave, Holloman Afb, NM 88330, United States",Military,1957,1.6,1 out of 4 reviews,14.30%
Jal Country Club,"1001 N. 3rd St, Jal, New Mexico 88252, Lea County",Semi-Private,1950,,,0%
Riverview Golf Course,"64 Country Rd 6520, Kirtland, New Mexico 87417, San Juan County",Public,1969,4,1 out of 1 reviews,100.00%
Tijeras Arroyo Golf Course,"Building 28054, Kirtland Afb, NM 87117, United States",Military,1971,4,1 out of 1 reviews,100.00%
New Mexico State University Golf Course,"3000 Herb Wimberly Dr, Las Cruces, New Mexico 88003, Dona Ana County",Public,1963,4.3,108 out of 111 reviews,95.50%
Picacho Hills Country Club,"6861 Via Campestre, Las Cruces, New Mexico 88005, Dona Ana County",Private,1979,5,3 out of 3 reviews,100.00%
Red Hawk Golf Club,"7502 Red Hawk Golf Rd, Las Cruces, NM, 88012",Semi-Private,2011,4.7,90 out of 92 reviews,98.50%
Sonoma Ranch Golf Course,"1274 Golf Club Rd, Las Cruces, NM 88011-4003, United States",Public,2000,4.2,40 out of 43 reviews,93.20%
Gene Torres Golf Course at Highlands University,"1 Country Club Drive, Las Vegas, New Mexico 87701,",Public,1958,4.5,8 out of 8 reviews,100.00%
Los Alamos Golf Course,"4250 Diamond Dr, Los Alamos, New Mexico 87544, Los Alamos County",Public/Municipal,1947,,,0%
Lovington Country Club,"1227 S. Country Club Drive, Lovington, New Mexico 88260, Lea County",Private,1953,,,0%
Inn of the Mountain Gods,"287 Carrizo Canyon Road, Mescalero , New Mexico 88340, Otero County",Resort,1975,4.4,54 out of 61 reviews,93.50%
Portales Country Club,"523B S Roosevelt Road U, Portales, New Mexico 88130, Roosevelt County",Semi-Private,1948,,,0%
Taos Country Club,"54 Golf Course Drive, Ranchos de Taos, New Mexico 87557, Taos County",Semi-Private,1992,4.8,4 out of 4 reviews,100.00%
Raton Country Club,"510 Country Club Rd, Raton, New Mexico 87740, Colfax County",Municipal,1919,5,3 out of 3 reviews,100.00%
Pendaries Golf & Country Club,"1 Country Club Dr, Rociada, New Mexico 87742, San Miguel County",Resort,1970,3.9,55 out of 61 reviews,81.90%
Nancy Lopez Golf Course at Spring River,"1612 W 8th St, Roswell, New Mexico 88201, Chaves County",Public,1930,3,3 out of 3 reviews,100.00%
New Mexico Military Institute Golf Course,"201 W 19th St, Roswell, New Mexico 88201, Chaves County",Public,1957,,,0%
Roswell Country Club,"2601 N. Urton Road, Roswell, New Mexico 88201, Chaves County",Private,1905,,,0%
Cree Meadows Country Club,"301 Country Club Dr, Ruidoso, New Mexico 88345, Lincoln County",Semi-Private,1947,2.9,34 out of 40 reviews,62.40%
Innsbrook Village Country Club,"103 Innsbrook Dr, Ruidoso, New Mexico 88345, Lincoln County",Private/Resort,1975,,,0%
"Links at Sierra Blanca, The","105 Sierra Blanca Dr, Ruidoso, New Mexico 88345, Lincoln County",Public,1991,4.3,147 out of 156 reviews,91.80%
Paa-Ko Ridge Golf Club - Course 1,"1 Clubhouse Dr, Sandia Park, New Mexico 87047, Bernalillo County,",Public,2000,4.4,10 out of 11 reviews,85.30%
Paa-Ko Ridge Golf Club - Course 2,"1 Clubhouse Dr, Sandia Park, New Mexico 87047, Bernalillo County",Public,2000,4.4,10 out of 11 reviews,85.30%
Paa-Ko Ridge Golf Club - Course 3,"1 Clubhouse Dr, Sandia Park, New Mexico 87047, Bernalillo County",Public,2005,4.4,10 out of 11 reviews,85.30%
Cheena/Star Course at Santa Ana Golf Club,"288 Prairie Star Road, Santa Ana Pueblo, New Mexico 87004",Public,1991,4.5,7 out of 7 reviews,100.00%
Tamaya/Cheena Course at Santa Ana Golf Club,"288 Prairie Star Road, Santa Ana Pueblo, New Mexico 87004",Public,1991,4.5,7 out of 7 reviews,100.00%
Tamaya/Star Course at Santa Ana Golf Club,"288 Prairie Star Road, Santa Ana Pueblo, New Mexico 87004",Public,1991,4.5,7 out of 7 reviews,100.00%
Twin Warriors Golf Club,"1301 Tuyuna Trail, Santa Ana Pueblo, New Mexico 87004",Resort,2001,4.3,3 out of 3 reviews,100.00%
Santa Rosa Golf Course,"Chuck and Dale Ln, Santa Rosa, New Mexico 88435, Guadalupe County",Municipal,1971,2,1 out of 1 reviews,100.00%
The University Golf Course At Scott Park,"9 Golf Course Rd, Silver City, New Mexico 88062",Municipal,1963,,,0%
New Mexico Tech Golf Course,"1 Canyon Rd, Socorro, New Mexico 87801, Socorro County",Public,1953,,,0%
El Valle Escondido Golf Course,"28 Lodge Rd, Taos, New Mexico 87571, Taos County",Semi-Private,1955,,,0%
Timberon Golf & Country Club,"90 Pleasant Valley Road, Timberon, New Mexico 88350, Otero County",Public,1971,,,0%
Truth Or Consequence City Golf Course,"685 Marie St , Truth or Consequences, NM 87901",Public/Municipal,1962,,,0%
Tucumcari Municipal Golf Course,"4465-C Route 66, Tucumcari, New Mexico 88401, Quay County",Municipal,1948,4,1 out of 1 reviews,100.00%
Twelve Shores Golf Club,"7509 Eagle Dr, Tucumcari, NM 88401",Resort/Community,2009,3.5,2 out of 2 reviews,100.00%
Rondout Golf Club,"10 Bank St., Accord, NY 12404, Ulster County",Public,1969,4.1,72 out of 74 reviews,97.30%
Adams Country Club,"10700 US Route 11, Adams, NY 13605, Jefferson County",Public,1959,,,0%
Pinnacle State Park Golf Club,"1904 Pinnacle Rd, Addison, NY 14801, Steuben County",Municipal,1969,,,0%
Afton Golf Course,"175 Afton Lake Rd, Afton, NY 13730, Chenango County",Public,1959,,,0%
Arrowhead Golf Club,"12292 Clarence Center Rd, Akron, NY 14001, Erie County",Public,2003,3.8,4 out of 4 reviews,100.00%
Bright Meadows Golf Course - Championship,"12287 Clarence Center Rd, Akron, New York 14001, Erie County",Public,1987,,,0%
Bright Meadows Golf Course - Executive,"12287 Clarence Center Rd, Akron, New York 14001, Erie County",Public,1987,,,0%
Dande Farms Golf Course,"13278 Carney Rd, Akron, NY 14001",Public,1959,3.5,1 out of 2 reviews,83.30%
Gold/White at Rothland Golf Course,"12089 Clarence Center Road, Akron, New York 14001",Public,1987,1.5,2 reviews,0%
